"","CCC","lower.ci","upper.ci"
"wavelet.LH_firstorder_Entropy",0.844014658026901,0.708992133211087,0.919345726219861
"wavelet.LH_firstorder_InterquartileRange",0.851577452347288,0.715567419350082,0.92537906434656
"wavelet.LH_firstorder_Kurtosis",0.888379478407652,0.763814256368063,0.949142807786388
"wavelet.LH_firstorder_Maximum",0.713080990582105,0.439274466209663,0.865664819371767
"wavelet.LH_firstorder_MeanAbsoluteDeviation",0.838642519430701,0.69505612230989,0.91789445701009
"wavelet.LH_firstorder_Mean",0.421607614529717,-0.0516392812416166,0.740224761077291
"wavelet.LH_firstorder_Median",0.892718138316017,0.779021159153499,0.949574414056456
"wavelet.LH_firstorder_Minimum",0.838094057316138,0.683720360335773,0.920669273009575
"wavelet.LH_firstorder_Range",0.816190110946407,0.64221112364674,0.910196091252765
"wavelet.LH_firstorder_RobustMeanAbsoluteDeviation",0.848111603533998,0.711836168354682,0.922845728255046
"wavelet.LH_firstorder_RootMeanSquared",0.738830294101166,0.536175520067717,0.86095533572445
"wavelet.LH_firstorder_Skewness",0.928831486064356,0.817140757789103,0.97330359499616
"wavelet.LH_firstorder_TotalEnergy",0.999823979108584,0.999643313124524,0.999913139679301
"wavelet.LH_firstorder_Uniformity",0.741953709224456,0.582372047220825,0.84647324054795
"wavelet.LH_firstorder_Variance",0.743113864291384,0.553514412207135,0.859482698523561
"wavelet.LH_glcm_Autocorrelation",0.74556220291185,0.561586372412065,0.859290984840542
"wavelet.LH_glcm_ClusterProminence",0.523718535602958,0.30426843709468,0.690380917724904
"wavelet.LH_glcm_ClusterShade",0.664602617844,0.464781309891851,0.800007369494799
"wavelet.LH_glcm_ClusterTendency",0.765830245253125,0.583473162150038,0.874669673397473
"wavelet.LH_glcm_Contrast",0.705201082922765,0.506449547412856,0.832799150449107
"wavelet.LH_glcm_Correlation",0.942793698328648,0.874872854143548,0.974350499718982
"wavelet.LH_glcm_DifferenceAverage",0.792819872764556,0.625667589091436,0.890366517868574
"wavelet.LH_glcm_DifferenceEntropy",0.80328683518521,0.646651881392541,0.894918382963362
"wavelet.LH_glcm_DifferenceVariance",0.699852976212013,0.499798567066806,0.829017657150678
"wavelet.LH_glcm_Id",0.748134057606184,0.567352353145508,0.860117886163917
"wavelet.LH_glcm_Idm",0.702730600178948,0.512272668171499,0.827307608927439
"wavelet.LH_glcm_Idmn",0.734912335097725,0.432357728211674,0.888731808335928
"wavelet.LH_glcm_Idn",0.723898270974222,0.418682777672505,0.882172537803542
"wavelet.LH_glcm_Imc1",0.896998544690289,0.800843104135196,0.948067729896078
"wavelet.LH_glcm_Imc2",0.856573464031875,0.71471817797594,0.930740815857884
"wavelet.LH_glcm_InverseVariance",0.722866848781306,0.54420393434208,0.838807824449568
"wavelet.LH_glcm_JointAverage",0.833614511216899,0.675150189664632,0.91853776795641
"wavelet.LH_glcm_JointEnergy",0.559128069511836,0.395103563084268,0.68860307808108
"wavelet.LH_glcm_JointEntropy",0.849686631837738,0.71096395977038,0.924757406036239
"wavelet.LH_glcm_MCC",0.810658861407769,0.584667712594757,0.919899060238281
"wavelet.LH_glcm_MaximumProbability",0.563201544876424,0.382861800498763,0.702191549324133
